STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,MEDICAL_PROCEDURE,Medical procedure,OCCUPATION,Occupation,DIAGNOSTIC_TYPE,Diagnostic category,PROVIDER,Provider,FUNCTION,Healthcare function,MODE_PROVISION,Mode of provision,CARE_TYPE,Care type,HEALTH_FACILITY,Medical technology,AGE,Age,SEX,Sex,DATA_SRCE,Data source,WAITING_TIME,Waiting time,DISEASE,Disease,CANCER_SITE,Cancer site,CONSULTATION_TYPE,Consultation type,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS2,Observation status 2,OBS_STATUS3,Observation status 3,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_PROC@DF_WAITING(1.1),Waiting times,I,ITA,Italy,WAIT,Waiting time,PT_PAT_WAIT_M_GT3,Percentage of patients waiting more than 3 months,CM131_138,Cataract surgery,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,WTSP,Waiting times from specialist assessment to treatment,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2020,,17.6,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_PROC@DF_WAITING(1.1),Waiting times,I,ITA,Italy,WAIT,Waiting time,PT_PAT_WAIT_M_GT3,Percentage of patients waiting more than 3 months,CM131_138,Cataract surgery,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,WTSP,Waiting times from specialist assessment to treatment,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,15.3,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_PROC@DF_WAITING(1.1),Waiting times,I,DNK,Denmark,WAIT,Waiting time,PT_PAT_WAIT_M_GT3,Percentage of patients waiting more than 3 months,CM8154,Knee replacement (including the revision of knee replacement),_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,WTSP,Waiting times from specialist assessment to treatment,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2011,,17.6,,D,Definition differs,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_PROC@DF_WAITING(1.1),Waiting times,I,DNK,Denmark,WAIT,Waiting time,PT_PAT_WAIT_M_GT3,Percentage of patients waiting more than 3 months,CM8154,Knee replacement (including the revision of knee replacement),_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,WTSP,Waiting times from specialist assessment to treatment,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2012,,15.6,,D,Definition differs,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_PROC@DF_WAITING(1.1),Waiting times,I,DNK,Denmark,WAIT,Waiting time,PT_PAT_WAIT_M_GT3,Percentage of patients waiting more than 3 months,CM8154,Knee replacement (including the revision of knee replacement),_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,WTSP,Waiting times from specialist assessment to treatment,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2014,,19,,D,Definition differs,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_PROC@DF_WAITING(1.1),Waiting times,I,DNK,Denmark,WAIT,Waiting time,PT_PAT_WAIT_M_GT3,Percentage of patients waiting more than 3 months,CM8154,Knee replacement (including the revision of knee replacement),_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,WTSP,Waiting times from specialist assessment to treatment,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2020,,43.4,,B,Time series break,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_PROC@DF_WAITING(1.1),Waiting times,I,DNK,Denmark,WAIT,Waiting time,PT_PAT_WAIT_M_GT3,Percentage of patients waiting more than 3 months,CM8154,Knee replacement (including the revision of knee replacement),_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,WTSP,Waiting times from specialist assessment to treatment,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2013,,16.2,,D,Definition differs,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_PROC@DF_WAITING(1.1),Waiting times,I,FIN,Finland,WAIT,Waiting time,PT_PAT_WAIT_M_GT3,Percentage of patients waiting more than 3 months,CM8154,Knee replacement (including the revision of knee replacement),_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,WTSP,Waiting times from specialist assessment to treatment,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2018,,55.2,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_PROC@DF_WAITING(1.1),Waiting times,I,FIN,Finland,WAIT,Waiting time,PT_PAT_WAIT_M_GT3,Percentage of patients waiting more than 3 months,CM8154,Knee replacement (including the revision of knee replacement),_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,WTSP,Waiting times from specialist assessment to treatment,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2013,,68.9,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_PROC@DF_WAITING(1.1),Waiting times,I,DNK,Denmark,WAIT,Waiting time,PT_PAT_WAIT_M_GT3,Percentage of patients waiting more than 3 months,CM8154,Knee replacement (including the revision of knee replacement),_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,WTSP,Waiting times from specialist assessment to treatment,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2017,,10.4,,D,Definition differs,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_PROC@DF_WAITING(1.1),Waiting times,I,DNK,Denmark,WAIT,Waiting time,PT_PAT_WAIT_M_GT3,Percentage of patients waiting more than 3 months,CM8154,Knee replacement (including the revision of knee replacement),_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,WTSP,Waiting times from specialist assessment to treatment,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2018,,13.8,,D,Definition differs,,,,,,,,
